"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Chris Godwin","TB","0.0","0.0","0.0","27.9","360.3","2.0","0.6","46.5"
"Charone Peake","NYJ","0.0","0.0","0.0","31.4","366.5","1.7","0.3","46.0"
"Jaron Brown","ARI","0.0","0.0","0.0","25.3","338.5","2.0","0.4","45.1"
"Braxton Miller","HOU","3.6","21.4","0.1","28.9","314.5","1.9","0.3","44.7"
"Carlos Henderson","DEN","0.0","0.0","0.0","26.6","351.5","1.8","0.8","44.5"
"Brandon Coleman","NO","0.0","0.0","0.0","25.1","320.6","2.1","0.3","44.0"
"Paul Richardson","SEA","0.5","2.3","0.0","23.5","317.7","1.9","0.1","43.0"
"Jaelen Strong","HOU","0.0","0.3","0.0","28.7","336.9","1.6","0.3","42.8"
"Malcolm Mitchell","NE","0.0","0.1","0.0","22.8","286.8","2.1","0.3","40.6"
"Brice Butler","DAL","0.0","0.0","0.0","18.7","267.2","2.2","0.3","39.4"
"Mike Williams","LAC","0.0","0.0","0.0","21.9","289.9","1.9","0.6","39.0"
"Kamar Aiken","IND","0.0","0.0","0.0","21.4","281.2","1.6","0.4","37.0"
"Victor Cruz","CHI","0.5","2.0","0.0","23.5","328.3","1.1","1.5","36.6"
"Marquess Wilson","NYJ","0.0","0.0","0.0","19.0","308.0","1.0","0.3","36.2"
"JuJu Smith-Schuster","PIT","0.0","0.0","0.0","22.1","283.8","1.4","0.3","36.1"
"Geronimo Allison","GB","0.0","-0.1","0.0","18.4","258.4","1.7","0.3","35.7"
"Andre Ellington","ARI","20.4","87.4","0.5","25.8","181.1","0.4","0.0","32.6"
"Danny Amendola","NE","0.1","0.0","0.0","21.8","250.3","1.9","2.1","32.4"
"Taywan Taylor","TEN","0.0","0.0","0.0","18.7","236.1","1.6","0.6","32.2"
"Rod Streater","BUF","0.0","0.0","0.0","18.4","235.3","1.5","0.3","31.8"
"Dontrelle Inman","LAC","0.0","0.0","0.0","17.8","249.1","1.3","0.5","31.5"
"Cordarrelle Patterson","OAK","5.5","43.3","0.1","19.0","193.3","1.3","0.4","31.2"
"Dede Westbrook","JAC","0.0","0.0","0.0","18.8","239.5","1.3","0.7","30.2"
"Chad Hansen","NYJ","0.0","0.0","0.0","18.0","246.0","1.1","0.6","30.0"
"Ricardo Louis","CLE","0.0","-0.1","0.0","21.5","254.1","0.7","0.3","29.3"
"Michael Floyd","MIN","0.0","0.0","0.0","16.9","211.6","1.4","0.2","29.1"
"Russell Shepard","CAR","1.2","4.3","0.0","15.5","221.1","1.1","0.3","28.8"
"Justin Hardy","ATL","0.0","0.0","0.0","15.7","192.1","1.5","0.1","28.1"
"TJ Jones","DET","0.1","0.2","0.0","17.0","218.3","1.3","0.9","27.9"
"Aldrick Robinson","SF","1.3","7.7","0.0","14.6","205.4","1.1","0.4","27.1"
"Brian Quick","WAS","0.0","0.0","0.0","15.9","201.9","0.9","0.1","25.2"
"Chad Williams","ARI","0.0","0.0","0.0","14.6","186.9","1.3","0.7","24.8"
"Justin Hunter","PIT","0.0","0.0","0.0","11.8","163.0","1.5","0.2","24.7"
"Chester Rogers","IND","0.0","0.0","0.0","15.0","197.9","0.9","0.3","24.4"
"Deonte Thompson","CHI","0.0","0.0","0.0","16.2","191.5","1.1","0.8","24.4"
